Designation	Obsid	RA	DEC	S/N(g)	Subclass	Source
J062407.76+264155.1	1902031	96.03234	26.698665	64.53	A2	Hümmerich et al. (2020)
J062307.91+264642.0	1902033	95.782966	26.778336	69.01	A2	Hümmerich et al. (2020)
J020421.09+582117.2	2403088	31.0879	58.3548	59.39	A1	Shi et al. (2023)
J020637.65+583606.8	2403170	31.6569	58.6019	68.35	A2	Shang et al. (2022)
J015958.89+585420.1	2414054	29.9954	58.9056	65.87	F0	Shi et al. (2023)
J015446.68+584637.5	2414230	28.6945	58.7771	59.62	A2	Shang et al. (2022)
J015713.72+594738.7	2416019	29.3072	59.7941	58.3	A2	Shi et al. (2023)
J063626.68+295739.5	2614128	99.111191	29.960979	56.98	A5	Shang et al. (2022)
J030709.75+535142.4	4116106	46.7906384	53.8618022	193.67	A2	Hümmerich et al. (2020)
J024406.53+534103.3	5004128	41.027232	53.684267	52.26	A2	Shang et al. (2022)
J023335.11+530446.3	5010036	38.396324	53.079551	119.8	A2	Hümmerich et al. (2020)
J024549.44+560453.8	5011191	41.456005	56.081629	90.74	A7	Shang et al. (2022)
J024356.00+535924.8	5104181	40.983349	53.990244	212.91	A1	Shang et al. (2022)
J025114.65+530215.2	5108101	42.811048	53.037575	70.07	A7	Shang et al. (2022)
J032939.33+060540.8	8312154	52.4138966	6.094693	302.66	A1	Hümmerich et al. (2020)
J091053.90+285032.6	8811202	137.7245978	28.842394	85.99	A7	Shang et al. (2022)
J035035.28+513819.4	11209081	57.647007	51.638734	62.02	A5	Shang et al. (2022)
J033546.83+512723.7	11214004	53.945133	51.456596	110.56	A1	Hümmerich et al. (2020)
J034114.89+483916.7	15002137	55.312061	48.65464	118.19	A2	Hümmerich et al. (2020)
J033637.91+491703.0	15010033	54.157987	49.284194	78.82	A2	Shang et al. (2022)
J033222.17+501250.6	15010139	53.092382	50.214059	61.74	A2	Shang et al. (2022)
J033831.76+513357.1	15016079	54.632343	51.565887	86.54	A1	Shi et al. (2023)
J034247.83+515853.3	15016105	55.699326	51.981473	63.67	A1	Shi et al. (2023)
J034614.11+514056.0	15115216	56.559688	51.682389	50.55	A2	Shang et al. (2022)
J020813.73+564115.9	15302015	32.057232	56.687759	51.71	A1	Shang et al. (2022)
J020403.88+564523.7	15302150	31.0162	56.7566	70.83	F0	Yang et al. (2024)
J020427.40+583513.5	15303061	31.1142	58.5871	60.82	A2	Shi et al. (2023)
J021142.21+583159.0	15304172	32.9258963	58.5330664	61.94	A2	Shang et al. (2022)
J021717.61+565859.8	15307038	34.3234	56.9833	78.76	A2	Shang et al. (2022)
J020058.06+591358.9	15314158	30.2419357	59.2330466	65.58	A2	Shang et al. (2022)
J052116.00+293157.5	15503148	80.316694	29.532661	62.8	A1	Shang et al. (2022)
J052753.31+293553.2	15509035	81.972142	29.598127	76.96	A2	Yang et al. (2024)
J092615.52+280323.0	15913129	141.563306	28.056412	134.08	A2	Shi et al. (2023)
J091053.71+285032.6	15916196	137.723805	28.842394	90.54	A7	Shi et al. (2023)
J030534.47+501457.6	16102024	46.393644	50.249352	121.08	A6	Lu et al. (2025)
J080130.69+132318.1	18202101	120.3778791	13.3883694	99.41	A5	Hümmerich et al. (2020)
J024853.65+515427.6	19901177	42.223565	51.907693	86.85	A7	Shang et al. (2022)
J025724.96+530044.3	19906207	44.354002	53.012309	104.21	A2	Shi et al. (2023)
J023129.31+542243.7	19914042	37.872161	54.378819	52.51	A6	Shang et al. (2022)
J081330.78+040630.6	21215157	123.3782833	4.1085111	164.63	A1	Hümmerich et al. (2020)
J055534.69+294438.9	21415188	88.894546	29.744149	51.45	A2	Shang et al. (2022)
J023029.43+541526.2	25410134	37.622625	54.257304	74	A2	Shi et al. (2023)
J034257.81+523015.1	26016244	55.7408895	52.5042114	78.47	A2	Shi et al. (2023)
J105734.90+260846.0	26105226	164.395437	26.14612	282.91	A2	Hümmerich et al. (2020)
J032413.45+525937.5	26613120	51.056053	52.993774	126.29	A3	Hümmerich et al. (2020)
J032111.38+530600.5	26613154	50.297433	53.100154	154.44	A3	Hümmerich et al. (2020)
J040642.34+454640.8	26905143	61.676433	45.778015	349.44	A2	Renson & Manfroid (2009)
J040845.42+461903.7	26908165	62.189255	46.317709	66.89	A1	Shang et al. (2022)
J044713.47+540515.5	27011065	71.806144	54.087661	440.23	F0	Hümmerich et al. (2020)
J045857.42+525653.7	27013021	74.739281	52.948254	96.31	A2	Shang et al. (2022)
J043814.40+542341.7	27016229	69.560002	54.394927	61.72	A3	Shi et al. (2023)
J055922.96+315147.4	27105085	89.845701	31.863171	113.71	A2	Shang et al. (2022)
J061001.31+325315.5	27106146	92.505476	32.887661	126.89	A1	Renson & Manfroid (2009)
J055218.79+331852.7	27114055	88.078319	33.314654	226.96	A1	Hümmerich et al. (2020)
J060719.04+323439.5	27206242	91.829343	32.577641	73.01	A5	Shang et al. (2022)
J055258.51+341523.9	27216092	88.243793	34.25666	432.11	A2	Shi et al. (2023)
J065302.82+121041.1	27303068	103.26176	12.178096	258.24	A1	Shang et al. (2022)
J065049.03+105959.6	27310029	102.70431	10.999911	82.03	A1	Shi et al. (2023)
J064935.95+124041.1	27314140	102.39983	12.678096	78.99	A1	Shang et al. (2022)
J122855.36+255446.3	27701139	187.227936	25.91287	176.89	A1	Renson & Manfroid (2009)
J044542.19+414052.9	27909199	71.425807	41.681381	96.79	A3	Shang et al. (2022)
J043813.34+424250.0	27911014	69.555621	42.713905	54.66	A1	Shang et al. (2022)
J044854.96+413917.5	27913107	72.229041	41.654873	117.92	A2	Shang et al. (2022)
J043111.72+393229.4	28002185	67.798872	39.541523	93.61	A2	Shang et al. (2022)
J043846.46+411724.2	28004042	69.693596	41.290066	96.86	A7	Shang et al. (2022)
J044002.28+400610.1	28005159	70.009522	40.102825	80.89	A2	Shang et al. (2022)
J044826.81+404211.9	28006047	72.111729	40.703308	218.7	A1	Shi et al. (2023)
J044511.49+405918.8	28009015	71.297886	40.988583	65.48	A1	Shang et al. (2022)
J064748.51+160757.8	28107057	101.95216	16.132748	195.06	A1	Hümmerich et al. (2020)
J064055.32+172735.3	28204200	100.23053	17.459833	103.05	F0	Yang et al. (2024)
J064358.14+192242.2	28211074	100.99226	19.378412	67.16	A1	Shang et al. (2022)
J063351.27+184418.9	28214023	98.463637	18.738586	321.55	A1	Hümmerich et al. (2020)
J063805.24+195355.8	28216238	99.52187	19.898834	97.83	A7	Shang et al. (2022)
J040258.12+461910.1	28703007	60.7422	46.319474	71.14	A3	Shi et al. (2023)
J040023.62+462840.7	28703048	60.098421	46.477997	358.18	A2	Hümmerich et al. (2020)
J040245.51+485337.9	28711020	60.689664	48.893871	61.2	A1	Hümmerich et al. (2020)
J035511.43+470050.3	28714179	58.797637	47.013995	73.17	A1	Shang et al. (2022)
J040427.19+474536.5	28715197	61.113331	47.760147	66.84	A2	Shi et al. (2023)
J040054.22+455310.4	28805240	60.225939	45.886242	51.6	A2	Shi et al. (2023)
J040452.41+484841.1	28811176	61.218409	48.811435	56.37	A5	Hümmerich et al. (2020)
J035432.82+472105.1	28814214	58.63678	47.351433	58.61	A1	Shi et al. (2023)
J065755.85+125952.8	29015129	104.48272	12.998015	159.49	A1	Shang et al. (2022)
J065404.60+113509.5	29103047	103.51918	11.585982	548.02	A1	Shang et al. (2022)
J065924.90+114744.7	29104227	104.85378	11.795777	67.11	A1	Yang et al. (2024)
J064959.12+125329.4	29114003	102.49637	12.891512	291.75	A1	Hümmerich et al. (2020)
J065415.12+125411.3	29115082	103.56301	12.903158	111.44	A1	Yang et al. (2024)
J065444.94+135455.5	29116149	103.68729	13.915432	177.5	A1	Hümmerich et al. (2020)
J043957.17+503355.9	29602059	69.988227	50.56554	86.6	A2	Shi et al. (2023)
J044846.65+530731.7	29609169	72.194383	53.125496	202.62	A1	Shang et al. (2022)
J044926.00+532923.5	29709068	72.358358	53.489871	73.87	A2	Yang et al. (2024)
J045311.65+525836.4	29709189	73.298546	52.976805	84.67	A1	Shang et al. (2022)
J045231.56+521715.1	29709236	73.131518	52.287537	193.04	A5	Hümmerich et al. (2020)
J043337.59+525003.7	29714163	68.406625	52.834368	72.35	A5	Yang et al. (2024)
J044446.35+533621.2	29715042	71.193151	53.605892	51.52	A1	Lu et al. (2025)
J064954.05+063614.9	29903093	102.47521	6.6041418	60.14	A5	Shi et al. (2023)
J065256.97+062511.6	29904178	103.23739	6.4198967	64.42	A1	Shang et al. (2022)
J065631.02+051047.3	29907041	104.12926	5.1798222	64.41	A2	Shang et al. (2022)
J070105.93+045719.0	29907087	105.274749	4.955284	103.07	A2	Shang et al. (2022)
J065624.57+071640.8	29909163	104.10239	7.2780071	51.07	A3	Shi et al. (2023)
J065420.92+081933.7	29911076	103.58717	8.3260519	51.75	A1	Shang et al. (2022)
J065239.94+090550.1	29911167	103.16642	9.097252	55.49	A2	Shang et al. (2022)
J064529.41+072552.2	29914124	101.37257	7.4311825	212.48	A1	Hümmerich et al. (2020)
J065154.99+080825.0	29915154	102.97915	8.1402796	101.71	A2	Shi et al. (2023)
J064927.82+080217.8	29916184	102.3659475	8.0382794	93	A1	Shang et al. (2022)
J065509.35+044322.6	30001082	103.78896	4.722962	90.96	A2	Shang et al. (2022)
J065137.32+062911.9	30003185	102.90551	6.4866582	77.82	A2	Shi et al. (2023)
J065124.21+072240.1	30003224	102.85088	7.3778248	101.53	A2	Shang et al. (2022)
J065310.66+071446.8	30004033	103.29444	7.2463597	160.83	A1	Hümmerich et al. (2020)
J065400.61+063645.2	30004182	103.50258	6.612556	152.53	A2	Hümmerich et al. (2020)
J065733.83+065745.3	30009009	104.39097	6.9625889	189.08	A7	Shang et al. (2022)
J065714.71+073908.9	30009101	104.31131	7.6524934	121.66	A1	Hümmerich et al. (2020)
J064716.03+054142.0	30010039	101.81683	5.695015	60.68	A5	Yang et al. (2024)
J065317.88+085025.4	30011022	103.32451	8.840414	76.98	A1	Shi et al. (2023)
J070434.59+070255.9	30013035	106.14414	7.0488657	50.65	A1	Shang et al. (2022)
J070047.44+071512.6	30013232	105.19767	7.2535016	75.06	A1	Shi et al. (2023)
J064614.76+072231.1	30014112	101.56154	7.375327	150.86	A1	Hümmerich et al. (2020)
J064704.31+073127.7	30014140	101.76799	7.524367	79.24	A1	Shang et al. (2022)
J064747.91+071929.4	30014225	101.94963	7.3248462	52.02	A2	Yang et al. (2024)
J065016.60+083133.3	30016057	102.5692	8.525924	95.08	A1	Shang et al. (2022)
J064812.61+080855.1	30016087	102.05256	8.1486473	52.71	A1	Shi et al. (2023)
J065205.09+065214.6	30103153	103.02123	6.8707489	123.79	A1	Hümmerich et al. (2020)
J070133.22+061017.5	30106078	105.38843	6.1715375	170.78	A1	Hümmerich et al. (2020)
J065953.07+061651.2	30108064	104.97114	6.2808965	58.93	A2	Shi et al. (2023)
J065629.15+074030.5	30109116	104.12146	7.675139	244.13	A2	Hümmerich et al. (2020)
J070337.20+064533.5	30113058	105.905	6.7593303	135.07	A1	Hümmerich et al. (2020)
J064741.02+072458.8	30114216	101.92094	7.4163444	149.43	A1	Hümmerich et al. (2020)
J014525.85+311349.2	30209070	26.357738	31.230356	63.37	A2	Shi et al. (2023)
J034004.96+442037.8	34202016	55.020684	44.343851	53.79	A1	Shi et al. (2023)
J034000.57+444858.4	34205214	55.002413	44.816231	300.48	A2	Renson & Manfroid (2009)
J034108.89+435436.0	34301239	55.287083	43.910004	68.07	A7	Shang et al. (2022)
J034828.34+460128.5	34308034	57.118101	46.024599	111.8	A1	Hümmerich et al. (2020)
J034632.02+450932.5	34308197	56.633452	45.159035	66.51	A2	Yang et al. (2024)
J034806.49+463445.6	34309216	57.027077	46.579352	64.73	A2	Shang et al. (2022)
J034603.80+483502.2	34311223	56.515858	48.583965	57.93	A5	Yang et al. (2024)
J034458.31+464848.7	34315109	56.24296	46.813537	198.95	A1	Hümmerich et al. (2020)
J055049.90+093136.5	34402218	87.707926	9.5268123	61.33	A1	Shang et al. (2022)
J055629.24+120153.3	34404050	89.121872	12.031483	220.09	A2	Hümmerich et al. (2020)
J060510.12+110636.6	34406136	91.292184	11.110185	53.64	A5	Yang et al. (2024)
J060040.60+100410.1	34407123	90.169188	10.069493	208.16	A2	Hümmerich et al. (2020)
J054732.61+121608.0	34414119	86.885915	12.26891	109.31	A2	Hümmerich et al. (2020)
J055507.06+121347.0	34415235	88.779427	12.229733	259.74	A2	Hümmerich et al. (2020)
J065952.57+055324.0	34806239	104.96908	5.8900124	63.16	A5	Yang et al. (2024)
J065749.94+075719.6	34809055	104.45811	7.9554524	118.29	A2	Yang et al. (2024)
J064546.78+075101.3	34814016	101.44494	7.8503764	84.91	A2	Lu et al. (2025)
J062158.40+282508.1	36209055	95.49337	28.418941	231.32	A7	Shang et al. (2022)
J061005.04+271200.8	36210022	92.521039	27.200249	98.7	A1	Shang et al. (2022)
J062126.32+291448.7	36211108	95.359707	29.246876	279.63	A2	Shi et al. (2023)
J061213.77+274735.8	36214164	93.057401	27.793283	77.98	A2	Yang et al. (2024)
J062020.91+252606.8	36301103	95.087152	25.435246	170.98	A2	Hümmerich et al. (2020)
J061101.05+264328.4	36310063	92.754379	26.724562	76.29	A3	Shang et al. (2022)
J062134.96+292444.7	36311035	95.395705	29.412417	73.31	A2	Lu et al. (2025)
J061027.62+272337.8	36314072	92.615122	27.393845	183.66	A2	Shang et al. (2022)
J060737.83+273524.4	36314244	91.907625	27.590128	65.13	A1	Shang et al. (2022)
J061342.52+263829.6	36403028	93.427188	26.641575	101.95	A1	Hümmerich et al. (2020)
J061817.58+265109.6	36404083	94.573253	26.852688	121.24	A2	Hümmerich et al. (2020)
J061609.41+265703.0	36404177	94.039248	26.950858	65.35	A1	Shi et al. (2023)
J044108.28+481631.3	36815232	70.28453	48.275372	97.42	A2	Hümmerich et al. (2020)
